id,Nummer,Dunkelbier,Pils,Weissbier,FünfProzent,NullProzent,Glasflasche,Dose,Plastikflasche,FünfundsiebzigCent,FünfzigCent,EinEuro,Produktname,Preference
14,1,1,0,0,1,0,1,0,0,0,1,0,1,8
14,2,0,0,1,1,0,0,1,0,1,0,0,2,6
14,3,1,0,0,1,0,0,0,1,0,0,1,3,3
14,4,0,1,0,0,1,0,0,1,1,0,0,4,2
14,5,0,0,1,0,1,0,1,0,0,1,0,5,9
14,6,0,1,0,0,1,1,0,0,0,0,1,6,7
14,7,0,0,1,0,1,0,1,0,1,0,0,7,1
14,8,1,0,0,0,1,0,0,1,1,0,0,8,10
14,9,0,1,0,0,1,0,1,0,1,0,0,9,5
14,10,0,1,0,1,0,1,0,0,0,0,1,10,4
15,1,1,0,0,1,0,1,0,0,0,1,0,1,9
15,2,0,0,1,1,0,0,1,0,1,0,0,2,8
15,3,1,0,0,1,0,0,0,1,0,0,1,3,6
15,4,0,1,0,0,1,0,0,1,1,0,0,4,2
15,5,0,0,1,0,1,0,1,0,0,1,0,5,5
15,6,0,1,0,0,1,1,0,0,0,0,1,6,4
15,7,0,0,1,0,1,0,1,0,1,0,0,7,3
15,8,1,0,0,0,1,0,0,1,1,0,0,8,7
15,9,0,1,0,0,1,0,1,0,1,0,0,9,1
15,10,0,1,0,1,0,1,0,0,0,0,1,10,10
16,1,1,0,0,1,0,1,0,0,0,1,0,1,8
16,2,0,0,1,1,0,0,1,0,1,0,0,2,7
16,3,1,0,0,1,0,0,0,1,0,0,1,3,6
16,4,0,1,0,0,1,0,0,1,1,0,0,4,5
16,5,0,0,1,0,1,0,1,0,0,1,0,5,3
16,6,0,1,0,0,1,1,0,0,0,0,1,6,10
16,7,0,0,1,0,1,0,1,0,1,0,0,7,9
16,8,1,0,0,0,1,0,0,1,1,0,0,8,4
16,9,0,1,0,0,1,0,1,0,1,0,0,9,2
16,10,0,1,0,1,0,1,0,0,0,0,1,10,1
17,1,1,0,0,1,0,1,0,0,0,1,0,1,6
17,2,0,0,1,1,0,0,1,0,1,0,0,2,3
17,3,1,0,0,1,0,0,0,1,0,0,1,3,1
17,4,0,1,0,0,1,0,0,1,1,0,0,4,10
17,5,0,0,1,0,1,0,1,0,0,1,0,5,5
17,6,0,1,0,0,1,1,0,0,0,0,1,6,4
17,7,0,0,1,0,1,0,1,0,1,0,0,7,2
17,8,1,0,0,0,1,0,0,1,1,0,0,8,9
17,9,0,1,0,0,1,0,1,0,1,0,0,9,8
17,10,0,1,0,1,0,1,0,0,0,0,1,10,7
18,1,1,0,0,1,0,1,0,0,0,1,0,1,8
18,2,0,0,1,1,0,0,1,0,1,0,0,2,7
18,3,1,0,0,1,0,0,0,1,0,0,1,3,2
18,4,0,1,0,0,1,0,0,1,1,0,0,4,10
18,5,0,0,1,0,1,0,1,0,0,1,0,5,6
18,6,0,1,0,0,1,1,0,0,0,0,1,6,5
18,7,0,0,1,0,1,0,1,0,1,0,0,7,3
18,8,1,0,0,0,1,0,0,1,1,0,0,8,1
18,9,0,1,0,0,1,0,1,0,1,0,0,9,4
18,10,0,1,0,1,0,1,0,0,0,0,1,10,9
19,1,1,0,0,1,0,1,0,0,0,1,0,1,4
19,2,0,0,1,1,0,0,1,0,1,0,0,2,3
19,3,1,0,0,1,0,0,0,1,0,0,1,3,2
19,4,0,1,0,0,1,0,0,1,1,0,0,4,10
19,5,0,0,1,0,1,0,1,0,0,1,0,5,9
19,6,0,1,0,0,1,1,0,0,0,0,1,6,8
19,7,0,0,1,0,1,0,1,0,1,0,0,7,7
19,8,1,0,0,0,1,0,0,1,1,0,0,8,1
19,9,0,1,0,0,1,0,1,0,1,0,0,9,5
19,10,0,1,0,1,0,1,0,0,0,0,1,10,6
20,1,1,0,0,1,0,1,0,0,0,1,0,1,8
20,2,0,0,1,1,0,0,1,0,1,0,0,2,4
20,3,1,0,0,1,0,0,0,1,0,0,1,3,2
20,4,0,1,0,0,1,0,0,1,1,0,0,4,1
20,5,0,0,1,0,1,0,1,0,0,1,0,5,10
20,6,0,1,0,0,1,1,0,0,0,0,1,6,6
20,7,0,0,1,0,1,0,1,0,1,0,0,7,5
20,8,1,0,0,0,1,0,0,1,1,0,0,8,7
20,9,0,1,0,0,1,0,1,0,1,0,0,9,3
20,10,0,1,0,1,0,1,0,0,0,0,1,10,9
21,1,1,0,0,1,0,1,0,0,0,1,0,1,8
21,2,0,0,1,1,0,0,1,0,1,0,0,2,5
21,3,1,0,0,1,0,0,0,1,0,0,1,3,4
21,4,0,1,0,0,1,0,0,1,1,0,0,4,2
21,5,0,0,1,0,1,0,1,0,0,1,0,5,10
21,6,0,1,0,0,1,1,0,0,0,0,1,6,9
21,7,0,0,1,0,1,0,1,0,1,0,0,7,6
21,8,1,0,0,0,1,0,0,1,1,0,0,8,3
21,9,0,1,0,0,1,0,1,0,1,0,0,9,1
21,10,0,1,0,1,0,1,0,0,0,0,1,10,7
22,1,1,0,0,1,0,1,0,0,0,1,0,1,8
22,2,0,0,1,1,0,0,1,0,1,0,0,2,5
22,3,1,0,0,1,0,0,0,1,0,0,1,3,4
22,4,0,1,0,0,1,0,0,1,1,0,0,4,3
22,5,0,0,1,0,1,0,1,0,0,1,0,5,2
22,6,0,1,0,0,1,1,0,0,0,0,1,6,6
22,7,0,0,1,0,1,0,1,0,1,0,0,7,1
22,8,1,0,0,0,1,0,0,1,1,0,0,8,10
22,9,0,1,0,0,1,0,1,0,1,0,0,9,9
22,10,0,1,0,1,0,1,0,0,0,0,1,10,7
23,1,1,0,0,1,0,1,0,0,0,1,0,1,9
23,2,0,0,1,1,0,0,1,0,1,0,0,2,7
23,3,1,0,0,1,0,0,0,1,0,0,1,3,5
23,4,0,1,0,0,1,0,0,1,1,0,0,4,1
23,5,0,0,1,0,1,0,1,0,0,1,0,5,10
23,6,0,1,0,0,1,1,0,0,0,0,1,6,8
23,7,0,0,1,0,1,0,1,0,1,0,0,7,3
23,8,1,0,0,0,1,0,0,1,1,0,0,8,2
23,9,0,1,0,0,1,0,1,0,1,0,0,9,6
23,10,0,1,0,1,0,1,0,0,0,0,1,10,4
24,1,1,0,0,1,0,1,0,0,0,1,0,1,7
24,2,0,0,1,1,0,0,1,0,1,0,0,2,3
24,3,1,0,0,1,0,0,0,1,0,0,1,3,10
24,4,0,1,0,0,1,0,0,1,1,0,0,4,9
24,5,0,0,1,0,1,0,1,0,0,1,0,5,8
24,6,0,1,0,0,1,1,0,0,0,0,1,6,6
24,7,0,0,1,0,1,0,1,0,1,0,0,7,5
24,8,1,0,0,0,1,0,0,1,1,0,0,8,2
24,9,0,1,0,0,1,0,1,0,1,0,0,9,1
24,10,0,1,0,1,0,1,0,0,0,0,1,10,4
25,1,1,0,0,1,0,1,0,0,0,1,0,1,5
25,2,0,0,1,1,0,0,1,0,1,0,0,2,4
25,3,1,0,0,1,0,0,0,1,0,0,1,3,3
25,4,0,1,0,0,1,0,0,1,1,0,0,4,10
25,5,0,0,1,0,1,0,1,0,0,1,0,5,8
25,6,0,1,0,0,1,1,0,0,0,0,1,6,6
25,7,0,0,1,0,1,0,1,0,1,0,0,7,2
25,8,1,0,0,0,1,0,0,1,1,0,0,8,9
25,9,0,1,0,0,1,0,1,0,1,0,0,9,7
25,10,0,1,0,1,0,1,0,0,0,0,1,10,1
26,1,1,0,0,1,0,1,0,0,0,1,0,1,8
26,2,0,0,1,1,0,0,1,0,1,0,0,2,3
26,3,1,0,0,1,0,0,0,1,0,0,1,3,2
26,4,0,1,0,0,1,0,0,1,1,0,0,4,9
26,5,0,0,1,0,1,0,1,0,0,1,0,5,7
26,6,0,1,0,0,1,1,0,0,0,0,1,6,6
26,7,0,0,1,0,1,0,1,0,1,0,0,7,4
26,8,1,0,0,0,1,0,0,1,1,0,0,8,1
26,9,0,1,0,0,1,0,1,0,1,0,0,9,5
26,10,0,1,0,1,0,1,0,0,0,0,1,10,10
27,1,1,0,0,1,0,1,0,0,0,1,0,1,9
27,2,0,0,1,1,0,0,1,0,1,0,0,2,5
27,3,1,0,0,1,0,0,0,1,0,0,1,3,3
27,4,0,1,0,0,1,0,0,1,1,0,0,4,10
27,5,0,0,1,0,1,0,1,0,0,1,0,5,6
27,6,0,1,0,0,1,1,0,0,0,0,1,6,4
27,7,0,0,1,0,1,0,1,0,1,0,0,7,2
27,8,1,0,0,0,1,0,0,1,1,0,0,8,1
27,9,0,1,0,0,1,0,1,0,1,0,0,9,8
27,10,0,1,0,1,0,1,0,0,0,0,1,10,7
28,1,1,0,0,1,0,1,0,0,0,1,0,1,8
28,2,0,0,1,1,0,0,1,0,1,0,0,2,7
28,3,1,0,0,1,0,0,0,1,0,0,1,3,3
28,4,0,1,0,0,1,0,0,1,1,0,0,4,2
28,5,0,0,1,0,1,0,1,0,0,1,0,5,10
28,6,0,1,0,0,1,1,0,0,0,0,1,6,9
28,7,0,0,1,0,1,0,1,0,1,0,0,7,4
28,8,1,0,0,0,1,0,0,1,1,0,0,8,6
28,9,0,1,0,0,1,0,1,0,1,0,0,9,5
28,10,0,1,0,1,0,1,0,0,0,0,1,10,1
29,1,1,0,0,1,0,1,0,0,0,1,0,1,8
29,2,0,0,1,1,0,0,1,0,1,0,0,2,5
29,3,1,0,0,1,0,0,0,1,0,0,1,3,4
29,4,0,1,0,0,1,0,0,1,1,0,0,4,3
29,5,0,0,1,0,1,0,1,0,0,1,0,5,1
29,6,0,1,0,0,1,1,0,0,0,0,1,6,9
29,7,0,0,1,0,1,0,1,0,1,0,0,7,7
29,8,1,0,0,0,1,0,0,1,1,0,0,8,6
29,9,0,1,0,0,1,0,1,0,1,0,0,9,2
29,10,0,1,0,1,0,1,0,0,0,0,1,10,10
30,1,1,0,0,1,0,1,0,0,0,1,0,1,8
30,2,0,0,1,1,0,0,1,0,1,0,0,2,6
30,3,1,0,0,1,0,0,0,1,0,0,1,3,5
30,4,0,1,0,0,1,0,0,1,1,0,0,4,2
30,5,0,0,1,0,1,0,1,0,0,1,0,5,3
30,6,0,1,0,0,1,1,0,0,0,0,1,6,1
30,7,0,0,1,0,1,0,1,0,1,0,0,7,10
30,8,1,0,0,0,1,0,0,1,1,0,0,8,9
30,9,0,1,0,0,1,0,1,0,1,0,0,9,7
30,10,0,1,0,1,0,1,0,0,0,0,1,10,4
31,1,1,0,0,1,0,1,0,0,0,1,0,1,9
31,2,0,0,1,1,0,0,1,0,1,0,0,2,8
31,3,1,0,0,1,0,0,0,1,0,0,1,3,2
31,4,0,1,0,0,1,0,0,1,1,0,0,4,1
31,5,0,0,1,0,1,0,1,0,0,1,0,5,10
31,6,0,1,0,0,1,1,0,0,0,0,1,6,3
31,7,0,0,1,0,1,0,1,0,1,0,0,7,7
31,8,1,0,0,0,1,0,0,1,1,0,0,8,6
31,9,0,1,0,0,1,0,1,0,1,0,0,9,5
31,10,0,1,0,1,0,1,0,0,0,0,1,10,4
32,1,1,0,0,1,0,1,0,0,0,1,0,1,6
32,2,0,0,1,1,0,0,1,0,1,0,0,2,5
32,3,1,0,0,1,0,0,0,1,0,0,1,3,4
32,4,0,1,0,0,1,0,0,1,1,0,0,4,3
32,5,0,0,1,0,1,0,1,0,0,1,0,5,2
32,6,0,1,0,0,1,1,0,0,0,0,1,6,9
32,7,0,0,1,0,1,0,1,0,1,0,0,7,8
32,8,1,0,0,0,1,0,0,1,1,0,0,8,1
32,9,0,1,0,0,1,0,1,0,1,0,0,9,7
32,10,0,1,0,1,0,1,0,0,0,0,1,10,10
33,1,1,0,0,1,0,1,0,0,0,1,0,1,9
33,2,0,0,1,1,0,0,1,0,1,0,0,2,5
33,3,1,0,0,1,0,0,0,1,0,0,1,3,2
33,4,0,1,0,0,1,0,0,1,1,0,0,4,1
33,5,0,0,1,0,1,0,1,0,0,1,0,5,10
33,6,0,1,0,0,1,1,0,0,0,0,1,6,7
33,7,0,0,1,0,1,0,1,0,1,0,0,7,4
33,8,1,0,0,0,1,0,0,1,1,0,0,8,6
33,9,0,1,0,0,1,0,1,0,1,0,0,9,3
33,10,0,1,0,1,0,1,0,0,0,0,1,10,8
34,1,1,0,0,1,0,1,0,0,0,1,0,1,7
34,2,0,0,1,1,0,0,1,0,1,0,0,2,6
34,3,1,0,0,1,0,0,0,1,0,0,1,3,4
34,4,0,1,0,0,1,0,0,1,1,0,0,4,3
34,5,0,0,1,0,1,0,1,0,0,1,0,5,9
34,6,0,1,0,0,1,1,0,0,0,0,1,6,8
34,7,0,0,1,0,1,0,1,0,1,0,0,7,2
34,8,1,0,0,0,1,0,0,1,1,0,0,8,1
34,9,0,1,0,0,1,0,1,0,1,0,0,9,5
34,10,0,1,0,1,0,1,0,0,0,0,1,10,10
35,1,1,0,0,1,0,1,0,0,0,1,0,1,10
35,2,0,0,1,1,0,0,1,0,1,0,0,2,9
35,3,1,0,0,1,0,0,0,1,0,0,1,3,5
35,4,0,1,0,0,1,0,0,1,1,0,0,4,3
35,5,0,0,1,0,1,0,1,0,0,1,0,5,2
35,6,0,1,0,0,1,1,0,0,0,0,1,6,6
35,7,0,0,1,0,1,0,1,0,1,0,0,7,8
35,8,1,0,0,0,1,0,0,1,1,0,0,8,4
35,9,0,1,0,0,1,0,1,0,1,0,0,9,1
35,10,0,1,0,1,0,1,0,0,0,0,1,10,7
36,1,1,0,0,1,0,1,0,0,0,1,0,1,9
36,2,0,0,1,1,0,0,1,0,1,0,0,2,8
36,3,1,0,0,1,0,0,0,1,0,0,1,3,7
36,4,0,1,0,0,1,0,0,1,1,0,0,4,3
36,5,0,0,1,0,1,0,1,0,0,1,0,5,1
36,6,0,1,0,0,1,1,0,0,0,0,1,6,4
36,7,0,0,1,0,1,0,1,0,1,0,0,7,2
36,8,1,0,0,0,1,0,0,1,1,0,0,8,5
36,9,0,1,0,0,1,0,1,0,1,0,0,9,10
36,10,0,1,0,1,0,1,0,0,0,0,1,10,6
37,1,1,0,0,1,0,1,0,0,0,1,0,1,10
37,2,0,0,1,1,0,0,1,0,1,0,0,2,3
37,3,1,0,0,1,0,0,0,1,0,0,1,3,9
37,4,0,1,0,0,1,0,0,1,1,0,0,4,8
37,5,0,0,1,0,1,0,1,0,0,1,0,5,7
37,6,0,1,0,0,1,1,0,0,0,0,1,6,6
37,7,0,0,1,0,1,0,1,0,1,0,0,7,5
37,8,1,0,0,0,1,0,0,1,1,0,0,8,2
37,9,0,1,0,0,1,0,1,0,1,0,0,9,4
37,10,0,1,0,1,0,1,0,0,0,0,1,10,1
38,1,1,0,0,1,0,1,0,0,0,1,0,1,9
38,2,0,0,1,1,0,0,1,0,1,0,0,2,4
38,3,1,0,0,1,0,0,0,1,0,0,1,3,8
38,4,0,1,0,0,1,0,0,1,1,0,0,4,7
38,5,0,0,1,0,1,0,1,0,0,1,0,5,6
38,6,0,1,0,0,1,1,0,0,0,0,1,6,5
38,7,0,0,1,0,1,0,1,0,1,0,0,7,3
38,8,1,0,0,0,1,0,0,1,1,0,0,8,2
38,9,0,1,0,0,1,0,1,0,1,0,0,9,10
38,10,0,1,0,1,0,1,0,0,0,0,1,10,1
39,1,1,0,0,1,0,1,0,0,0,1,0,1,6
39,2,0,0,1,1,0,0,1,0,1,0,0,2,4
39,3,1,0,0,1,0,0,0,1,0,0,1,3,3
39,4,0,1,0,0,1,0,0,1,1,0,0,4,9
39,5,0,0,1,0,1,0,1,0,0,1,0,5,8
39,6,0,1,0,0,1,1,0,0,0,0,1,6,7
39,7,0,0,1,0,1,0,1,0,1,0,0,7,5
39,8,1,0,0,0,1,0,0,1,1,0,0,8,1
39,9,0,1,0,0,1,0,1,0,1,0,0,9,10
39,10,0,1,0,1,0,1,0,0,0,0,1,10,2
40,1,1,0,0,1,0,1,0,0,0,1,0,1,10
40,2,0,0,1,1,0,0,1,0,1,0,0,2,9
40,3,1,0,0,1,0,0,0,1,0,0,1,3,8
40,4,0,1,0,0,1,0,0,1,1,0,0,4,3
40,5,0,0,1,0,1,0,1,0,0,1,0,5,6
40,6,0,1,0,0,1,1,0,0,0,0,1,6,4
40,7,0,0,1,0,1,0,1,0,1,0,0,7,2
40,8,1,0,0,0,1,0,0,1,1,0,0,8,7
40,9,0,1,0,0,1,0,1,0,1,0,0,9,5
40,10,0,1,0,1,0,1,0,0,0,0,1,10,1
41,1,1,0,0,1,0,1,0,0,0,1,0,1,5
41,2,0,0,1,1,0,0,1,0,1,0,0,2,3
41,3,1,0,0,1,0,0,0,1,0,0,1,3,2
41,4,0,1,0,0,1,0,0,1,1,0,0,4,1
41,5,0,0,1,0,1,0,1,0,0,1,0,5,10
41,6,0,1,0,0,1,1,0,0,0,0,1,6,9
41,7,0,0,1,0,1,0,1,0,1,0,0,7,4
41,8,1,0,0,0,1,0,0,1,1,0,0,8,8
41,9,0,1,0,0,1,0,1,0,1,0,0,9,7
41,10,0,1,0,1,0,1,0,0,0,0,1,10,6
42,1,1,0,0,1,0,1,0,0,0,1,0,1,7
42,2,0,0,1,1,0,0,1,0,1,0,0,2,5
42,3,1,0,0,1,0,0,0,1,0,0,1,3,4
42,4,0,1,0,0,1,0,0,1,1,0,0,4,3
42,5,0,0,1,0,1,0,1,0,0,1,0,5,2
42,6,0,1,0,0,1,1,0,0,0,0,1,6,10
42,7,0,0,1,0,1,0,1,0,1,0,0,7,9
42,8,1,0,0,0,1,0,0,1,1,0,0,8,8
42,9,0,1,0,0,1,0,1,0,1,0,0,9,1
42,10,0,1,0,1,0,1,0,0,0,0,1,10,6
43,1,1,0,0,1,0,1,0,0,0,1,0,1,9
43,2,0,0,1,1,0,0,1,0,1,0,0,2,6
43,3,1,0,0,1,0,0,0,1,0,0,1,3,3
43,4,0,1,0,0,1,0,0,1,1,0,0,4,8
43,5,0,0,1,0,1,0,1,0,0,1,0,5,4
43,6,0,1,0,0,1,1,0,0,0,0,1,6,2
43,7,0,0,1,0,1,0,1,0,1,0,0,7,1
43,8,1,0,0,0,1,0,0,1,1,0,0,8,10
43,9,0,1,0,0,1,0,1,0,1,0,0,9,7
43,10,0,1,0,1,0,1,0,0,0,0,1,10,5
44,1,1,0,0,1,0,1,0,0,0,1,0,1,10
44,2,0,0,1,1,0,0,1,0,1,0,0,2,8
44,3,1,0,0,1,0,0,0,1,0,0,1,3,2
44,4,0,1,0,0,1,0,0,1,1,0,0,4,7
44,5,0,0,1,0,1,0,1,0,0,1,0,5,5
44,6,0,1,0,0,1,1,0,0,0,0,1,6,3
44,7,0,0,1,0,1,0,1,0,1,0,0,7,1
44,8,1,0,0,0,1,0,0,1,1,0,0,8,9
44,9,0,1,0,0,1,0,1,0,1,0,0,9,6
44,10,0,1,0,1,0,1,0,0,0,0,1,10,4
45,1,1,0,0,1,0,1,0,0,0,1,0,1,7
45,2,0,0,1,1,0,0,1,0,1,0,0,2,4
45,3,1,0,0,1,0,0,0,1,0,0,1,3,3
45,4,0,1,0,0,1,0,0,1,1,0,0,4,9
45,5,0,0,1,0,1,0,1,0,0,1,0,5,8
45,6,0,1,0,0,1,1,0,0,0,0,1,6,5
45,7,0,0,1,0,1,0,1,0,1,0,0,7,1
45,8,1,0,0,0,1,0,0,1,1,0,0,8,10
45,9,0,1,0,0,1,0,1,0,1,0,0,9,6
45,10,0,1,0,1,0,1,0,0,0,0,1,10,2
46,1,1,0,0,1,0,1,0,0,0,1,0,1,3
46,2,0,0,1,1,0,0,1,0,1,0,0,2,2
46,3,1,0,0,1,0,0,0,1,0,0,1,3,1
46,4,0,1,0,0,1,0,0,1,1,0,0,4,8
46,5,0,0,1,0,1,0,1,0,0,1,0,5,7
46,6,0,1,0,0,1,1,0,0,0,0,1,6,6
46,7,0,0,1,0,1,0,1,0,1,0,0,7,5
46,8,1,0,0,0,1,0,0,1,1,0,0,8,4
46,9,0,1,0,0,1,0,1,0,1,0,0,9,9
46,10,0,1,0,1,0,1,0,0,0,0,1,10,10
